"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","IfHireLabour","perCapitaIncome","percentNonfarmIncome","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket"
"1",752,49,4,2.12460160255432,33.3333320617676,37.4978256225586,146.851058959961,"Subsistence","Yes","Rice","Yes",595077.1875,32.2776298522949,"None",25.4133451096763,18.5083904266357
"2",1026,63,6,2.2257730960846,0.16293278336525,0,275.746887207031,"Subsistence","No","RiceAndMaize","Yes",15173.5966796875,0,"None",16.2403710960761,3.15884137153625
"3",1035,35,4,1.31522953510284,32.4324340820312,78.6885223388672,140.659851074219,"Diversifier","Yes","RiceAndMaize","Yes",23637.52734375,0,"None",16.2403710960761,3.15884137153625
"4",886,39,4,5.71618986129761,72.2222213745117,0,113.362228393555,"AgroPastoralist","No","Rice","Yes",15712500,91.8931274414062,"None",16.705653101445,42.1635246276855
"5",927,35,2,0.809372007846832,21.2218647003174,62.5,384.24853515625,"Subsistence","Yes","RiceAndMaize","Yes",300840.59375,0,"ApplyFertilizer",16.3001880189242,3.87008237838745
"6",879,33,5,3.23748803138733,7.34966611862183,46.875,277.375549316406,"Subsistence","No","Rice","Yes",977371.5,0,"None",19.0129596433479,41.4270820617676
"7",825,62,7,4.45154619216919,10.7784442901611,52.7663917541504,62.5250854492188,"Diversifier","Yes","RiceAndMaize","Yes",195673.46875,0,"None",16.8471645770472,63.5027656555176
"8",899,39,10,12.3429231643677,25.1612911224365,66.6666641235352,100.462425231934,"AgroPastoralist","Yes","Rice","Yes",822900,12.5391845703125,"None",26.8997228355532,33.184684753418
"9",816,39,6,1.41640102863312,28.8135585784912,60,249.929214477539,"Subsistence","Yes","Rice","Yes",490698.9375,72.1979598999023,"None",28.8490284505961,40.9419021606445
"10",933,36,5,1.61874401569366,0.160513639450073,62.3557777404785,384.866302490234,"Subsistence","Yes","Rice","Yes",505814.84375,33.5161285400391,"None",26.4007317009238,3.97966504096985
"11",764,61,8,2.83280205726623,1.68067228794098,0,84.015754699707,"Diversifier","Yes","RiceAndMaize","Yes",108040.609375,64.8035736083984,"None",17.1571549445063,17.0868587493896
