"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","IfHireLabour","perCapitaIncome","percentNonfarmIncome","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket"
"1",996,40,5,1.31522953510284,79.1666641235352,66.6666641235352,255.468719482422,"Subsistence","No","RiceAndMaize","Yes",36415.3359375,0,"None",15.4953908690597,1.27247524261475
"2",884,36,11,9.71246433258057,57.7981643676758,21.6216220855713,101.004234313965,"AgroPastoralist","No","RiceAndMaize","Yes",1027857.1875,0,"None",18.5934277941541,41.7085189819336
"3",925,72,2,1.41640102863312,76.2645950317383,0,2177.34936523438,"Diversifier","No","RiceAndMaize","Yes",589070.6875,16.7815570831299,"None",16.705653101445,4.01636838912964
"4",1032,58,1,0.708200514316559,8.73786449432373,73.8379516601562,145.439041137695,"Diversifier","No","RiceAndMaize","Yes",1065930.125,0,"CropMultipleTimes",18.118771137465,2.92427158355713
"5",1040,72,6,1.21405804157257,1.96078431606293,1.3294335603714,168.031509399414,"Diversifier","No","RiceMaizeAndVegit","Yes",18690.474609375,0,"UseIrrigation",16.9335182328941,2.84889554977417
"6",821,36,6,1.61874401569366,36.3636360168457,41.1764717102051,156.294021606445,"Subsistence","Yes","RiceAndMaize","Yes",306769.25,34.3847122192383,"CropMultipleTimes",25.3021194815851,41.4425888061523
"7",782,35,5,3.64217400550842,75.5439529418945,49.6031761169434,315.470916748047,"Diversifier","No","RiceAndMaize","Yes",486714.3125,6.02917909622192,"ApplyImprovedSeed",17.5037599003154,34.8626861572266
"8",993,70,6,4.24920320510864,6.21359205245972,29.4661293029785,121.199195861816,"Subsistence","No","Rice","Yes",176703.578125,38.8909111022949,"None",25.8011106162146,2.02449560165405
"9",1003,60,5,2.2257730960846,65.694221496582,53.6312866210938,207.905288696289,"Subsistence","No","RiceAndMaize","Yes",160272.984375,29.2358512878418,"None",31.6560798304978,1.93504118919373
"10",916,50,5,0.607029020786285,0,44,1138.05651855469,"Subsistence","No","Rice","No",305900,0,"UseIrrigation",17.2299918149834,23.4945335388184
"11",847,25,2,1.01171505451202,100,73.3333358764648,142.332565307617,"Subsistence","Yes","Rice","Yes",289396.5,0,"None",17.9799522191232,22.8251075744629
"12",962,46,6,3.64217400550842,57.324836730957,59.9999961853027,28.7374172210693,"Subsistence","No","Rice","Yes",709303.625,78.9850921630859,"None",23.9791640744334,15.4933986663818
"13",919,42,3,0.910543501377106,70.3296737670898,26.0416679382324,99.9403076171875,"Subsistence","No","Rice","Yes",149533.328125,0,"UseIrrigation",17.2299918149834,23.4945335388184
"14",1001,39,3,1.1128865480423,54.7826080322266,0,413.339538574219,"Subsistence","No","Rice","Yes",13921.5625,0,"None",25.7647429743387,2.07143974304199
"15",880,56,4,1.01171505451202,66.6666641235352,74.817138671875,177.915710449219,"Subsistence","No","Rice","Yes",328862.375,0,"None",16.241028811728,41.5451469421387
"16",1010,48,6,4.65388917922974,99.1071395874023,56.7988166809082,336.922515869141,"Subsistence","No","Rice","Yes",909907.25,4.32062292098999,"None",25.9654136571373,10.6937141418457
"17",890,46,5,1.31522953510284,2.45398783683777,75,247.865478515625,"Subsistence","No","Rice","Yes",266320,0,"None",18.9505044288235,33.0996437072754
"18",941,40,5,1.82108700275421,100,50,428.315612792969,"Subsistence","No","Rice","Yes",1304885.75,77.8469772338867,"None",18.255931705117,17.8084030151367
"19",1009,73,5,0.607029020786285,50.7042236328125,54.3802947998047,467.852416992188,"Subsistence","Yes","VegitAndRice","Yes",77291.640625,0,"None",16.1885380058777,4.41715717315674
"20",901,49,3,2.2257730960846,1.19047617912293,0,150.958786010742,"Subsistence","No","Rice","Yes",16800,0,"None",26.8509326744628,32.455135345459
"21",808,41,6,2.12460160255432,73.2984313964844,33.3201103210449,89.8992080688477,"Subsistence","Yes","VegitAndRice","Yes",492263.46875,0,"None",24.2417256169662,43.4667205810547
"22",926,66,4,0.505857527256012,41.5584411621094,42.3631134033203,304.433532714844,"Subsistence","No","Rice","Yes",14209.3623046875,0,"None",17.0458653830992,4.41944789886475
"23",913,43,6,0.607029020786285,17.0068035125732,46.0674133300781,242.163055419922,"Subsistence","Yes","Rice","Yes",323555.96875,0,"ApplyImprovedSeed",27.4033799380566,23.4878559112549
"24",958,47,3,2.02343010902405,78.391960144043,73.1343307495117,196.695693969727,"Diversifier","Yes","RiceAndMaize","Yes",267352.9375,0,"ApplyImprovedSeed",18.8645620044462,14.6545429229736
"25",785,45,6,1.61874401569366,0.113765642046928,33.0341720581055,543.013610839844,"Diversifier","No","RiceAndMaize","Yes",174213.859375,0,"None",15.5282960193286,35.605583190918
"26",803,60,2,2.02343010902405,100,30.539945602417,420.572967529297,"Subsistence","No","RiceAndMaize","Yes",700211.5,13.2596235275269,"CropMultipleTimes",22.4689063163228,39.8176231384277
"27",862,36,5,1.82108700275421,61.8556709289551,54.2536582946777,106.529777526855,"Subsistence","No","RiceAndMaize","Yes",21580.37109375,0,"None",14.4494338710187,14.4458875656128
"28",761,55,4,4.85623216629028,31.0461196899414,49.109790802002,183.063735961914,"Diversifier","No","RiceMaizeAndVegit","Yes",147613.84375,0,"None",17.8621691908997,17.88551902771
"29",966,42,5,2.2257730960846,91.6666641235352,46.8457221984863,75.4793930053711,"Subsistence","No","Rice","Yes",161081.03125,0,"UseIrrigation",26.8877466452623,15.7013463973999
"30",860,31,4,6.67731904983521,1.45985400676727,11.6067819595337,41.0344314575195,"Diversifier","No","RiceAndMaize","Yes",464991.375,26.7383785247803,"None",17.4004711441873,15.1165027618408
"31",771,62,4,3.84451699256897,0,59.4227523803711,362.594299316406,"Diversifier","No","RiceAndMaize","No",832732.875,0,"ApplyImprovedSeed",18.221425285047,15.8935289382935
"32",975,37,5,2.02343010902405,61.7142868041992,76.3975143432617,345.947204589844,"Subsistence","Yes","Rice","Yes",250594,0,"None",26.8509326744628,6.35362195968628
"33",1042,78,2,1.01171505451202,7.692307472229,1.71939480304718,192.74201965332,"Subsistence","No","Rice","Yes",73387.5,0,"None",25.0338555119196,3.99362659454346
"34",891,29,4,1.31522953510284,1.59151196479797,66.6666641235352,573.283935546875,"Subsistence","Yes","Rice","Yes",167450,0,"None",19.2173833568037,32.6796455383301
"35",1011,38,4,1.21405804157257,9.41176509857178,44.2752151489258,140.026260375977,"Diversifier","No","RiceAndMaize","Yes",230907.875,0,"UseIrrigationAndFertilizerApplication",27.0840265419204,11.8423976898193
"36",991,65,5,1.41640102863312,0.42238649725914,37.1428565979004,668.595947265625,"Diversifier","No","RiceAndMaize","Yes",214574.78125,26.7285614013672,"None",31.6575116162932,1.8900648355484
"37",832,31,3,1.51757252216339,63.3663368225098,68.1818161010742,66.5536575317383,"Subsistence","Yes","Rice","Yes",295857.15625,0,"None",17.3823375984869,63.0235862731934
"38",946,30,4,0.708200514316559,73.3333358764648,100,338.887084960938,"Diversifier","No","Vegitables","Yes",141500,0,"UseIrrigationAndFertilizerApplication",16.5940030883984,19.8180599212646
"39",909,42,7,0.607029020786285,0.282485872507095,64.1104278564453,583.168151855469,"Subsistence","No","Rice","Yes",215933.140625,0,"CropMultipleTimes",15.1424165923893,23.5708656311035
"40",923,40,8,1.51757252216339,16.6666660308838,42.1441802978516,138.378890991211,"Subsistence","Yes","RiceAndMaize","Yes",238064.546875,0,"ApplyFertilizer",15.5472239592582,5.76137685775757
"41",972,40,4,0.455000013113022,0,40,831.0439453125,"Subsistence","No","Rice","No",60874.40625,0,"None",20.2722490848739,10.4394369125366
"42",960,39,5,4.45154619216919,63.7428512573242,35.874439239502,68.721435546875,"Subsistence","No","Rice","Yes",887865.8125,0,"UseIrrigationAndFertilizerApplication",19.0437313000727,14.3858652114868
"43",922,35,3,1.01171505451202,1.58311343193054,35.474006652832,374.611419677734,"Subsistence","No","Rice","Yes",1851392.25,86.0855331420898,"None",16.2403710960761,5.25136995315552
"44",970,58,6,4.24920320510864,25.3246746063232,73.5849075317383,144.968353271484,"Subsistence","Yes","VegitAndRice","Yes",1277598,0,"UseIrrigationAndFertilizerApplication",26.2301061946606,10.771505355835
"45",881,34,8,7.68903398513794,0,63.75,449.471282958984,"AgroPastoralist","No","RiceAndMaize","No",767587.875,0,"None",18.2220004951218,43.840648651123
"46",869,61,6,2.12460160255432,36.3636360168457,32.6441802978516,62.1292953491211,"Subsistence","No","Rice","Yes",801666.0625,0,"None",16.6990184544963,49.3984336853027
"47",932,32,5,0.607029020786285,0.259740263223648,66.6666717529297,634.236572265625,"Subsistence","Yes","Rice","Yes",111587.6953125,55.9418869018555,"None",25.1769563465297,4.61546421051025
