,IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,RicePrice,fold
1,764,61,8,2.8328021,1.6806723,0,84.015755,Diversifier,Yes,RiceAndMaize,Yes,108040.61,64.803574,101,None,17.157154,17.086859,414.28571,1144.301,2
2,776,63,4,5.0585752,50.746269,22.811272,79.469017,Diversifier,No,RiceAndMaize,Yes,117016.38,0,101,None,17.84981,17.268314,414.28571,1144.301,10
3,791,73,3,10.319493,39.758553,19.511696,60.201599,Diversifier,No,RiceMaizeAndVegit,Yes,2131333.3,0,101,None,16.444361,27.083479,1000,1040.9524,5
4,797,28,5,0.50585753,6.521739,56.015038,727.47754,Subsistence,No,Rice,Yes,274387.09,54.980785,121,None,25.604401,41.077747,0,1232.2581,5
5,798,41,6,2.2257731,40.191387,33.333332,93.899956,Subsistence,No,Rice,Yes,39005.375,0,121,None,17.738552,40.806843,0,1232.2581,7
6,822,42,6,1.5175725,69.565216,76,106.09048,Subsistence,Yes,Rice,Yes,292534.09,0,121,None,19.130743,41.980595,0,1232.2581,6
7,825,62,7,4.4515462,10.778444,52.766392,62.525085,Diversifier,Yes,RiceAndMaize,Yes,195673.47,0,131,None,16.847164,63.502766,888.88892,1138.0952,2
8,832,31,3,1.5175725,63.366337,68.181816,66.553658,Subsistence,Yes,Rice,Yes,295857.16,0,131,None,17.382338,63.023586,888.88892,1138.0952,10
9,845,49,5,0.80937201,0.75,39.215687,494.21033,Diversifier,No,RiceMaizeAndVegit,Yes,223620.7,0,61,CropMultipleTimes,19.933668,23.517136,861.11108,1167.816,2
10,853,38,4,0.9105435,0.62630481,55.555557,1052.1189,Subsistence,Yes,Rice,Yes,447596.38,17.364786,61,ApplyImprovedSeed,14.700771,14.711404,0,1167.816,7
11,861,47,11,12.14058,64.246597,69.230766,67.693092,AgroPastoralist,No,VegitAndRice,Yes,465000,0,61,None,14.53652,14.76462,0,1167.816,6
12,882,52,11,21.448359,66.786354,40,51.938705,AgroPastoralist,No,RiceAndMaize,Yes,5755963.5,24.994587,241,None,18.515762,42.113094,805.68878,946.66669,8
13,888,70,11,6.7784905,6.4516129,0,128.05211,AgroPastoralist,No,Rice,Yes,396948.09,0,241,None,18.180967,41.586414,0,1104.762,2
14,893,24,3,1.124,51.724136,86.666664,103.20285,Subsistence,No,Rice,Yes,655833.31,11.801897,23,None,18.926693,33.118904,0,1860,2
15,911,34,4,1.214058,0.36101082,86.666664,228.16043,Subsistence,No,Rice,Yes,247878.91,0,23,ApplyFertilizer,31.711229,23.475788,0,1138.2858,1
16,912,44,6,8.0937204,1.369863,57.912457,36.077351,Subsistence,No,Rice,Yes,648986.44,22.463392,23,ApplyImprovedSeed,25.801111,23.381191,0,1138.2858,5
17,928,26,3,1.062,0.55248618,52.680721,681.73254,Diversifier,No,RiceMaizeAndVegit,Yes,202299.48,0,83,UseIrrigationAndFertilizerApplication,16.24103,5.7481875,805.68878,1312.6154,10
18,939,28,3,0.50585753,39.200001,30.76923,247.10515,Subsistence,Yes,Rice,Yes,110304.77,0,23,ApplyFertilizer,18.654842,18.720961,0,1138.2858,8
19,953,41,5,2.3269446,69.478905,43.076923,86.594238,Subsistence,Yes,VegitAndRice,Yes,444028.09,0,11,CropMultipleTimes,19.060308,14.692819,0,1247.595,3
20,958,47,3,2.0234301,78.39196,73.134331,196.69569,Diversifier,Yes,RiceAndMaize,Yes,267352.94,0,11,ApplyImprovedSeed,18.864561,14.654543,944.44446,1247.595,7
21,966,42,5,2.2257731,91.666664,46.845722,75.479393,Subsistence,No,Rice,Yes,161081.03,0,11,UseIrrigation,26.887747,15.701346,0,1247.595,1
22,967,63,5,2.0234301,63.636364,83.75518,141.34415,Subsistence,No,Rice,Yes,1011271,0,11,UseIrrigationAndFertilizerApplication,23.979715,14.688686,0,1247.595,5
23,985,41,5,1.7199155,90.410957,20.873714,169.77579,Subsistence,Yes,Rice,Yes,307358.34,0,11,None,18.6731,6.9376163,0,1247.595,6
24,996,40,5,1.3152295,79.166664,66.666664,255.46872,Subsistence,No,RiceAndMaize,Yes,36415.336,0,91,None,15.495391,1.2724752,805.68878,1403.9215,3
25,1003,60,5,2.2257731,65.694221,53.631287,207.90529,Subsistence,No,RiceAndMaize,Yes,160272.98,29.235851,91,None,31.65608,1.9350412,805.68878,1403.9215,8
26,1020,30,3,0.70820051,45.714287,44.444443,345.94724,Subsistence,No,Rice,Yes,184442.2,0,11,None,19.01296,10.813232,0,1247.595,4
27,1050,53,4,1.3152295,27.777779,68.372093,164.22989,Subsistence,No,Rice,Yes,283500,0,83,None,18.118771,2.4845872,0,1466.6666,9
28,1053,53,6,0.9105435,33.870968,22.996058,136.1824,Subsistence,No,Rice,Yes,66322.219,0,83,None,17.341066,2.3549387,0,1466.6666,9
