,IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,RicePrice,fold
1,781,38,6,7.284348,4.2042041,26.775957,91.428909,Diversifier,No,RiceAndMaize,Yes,398690.5,0,101,None,21.478582,33.874649,1000,1040.9524,1
2,786,42,7,2.8328021,0,4.5225482,186.38789,Diversifier,Yes,RiceAndMaize,Yes,267653.06,21.245928,101,None,17.514021,28.975018,1000,1040.9524,1
3,789,36,3,0.404686,85.271317,36.745888,956.297,Subsistence,Yes,RiceAndMaize,Yes,679261.94,0,101,ApplyFertilizer,26.206575,29.17342,780.53406,1040.9524,9
4,799,48,7,0.80937201,6.6604996,46.666668,333.90085,Subsistence,Yes,Rice,Yes,161184.34,0,121,None,23.162054,40.070976,0,1232.2581,10
5,828,74,2,2.1246016,60.493828,64.451828,152.49918,Diversifier,No,RiceMaizeAndVegit,Yes,492778.56,0,131,ApplyImprovedSeed,17.210167,62.3521,888.88892,1138.0952,8
6,830,37,6,1.9222585,92.307693,30,108.20605,Subsistence,Yes,Rice,Yes,144095.23,18.983049,131,None,18.112173,63.413219,0,1138.0952,8
7,834,65,10,1.7199155,39.790577,76.815086,888.41571,Diversifier,No,RiceAndMaize,Yes,212185.25,0,131,CropMultipleTimes,17.035835,62.961571,888.88892,1138.0952,1
8,864,33,3,0.9105435,43.686008,55.555557,643.57166,Subsistence,No,Rice,Yes,350517.22,0,61,None,18.851658,21.762909,0,1167.816,6
9,871,40,8,6.879662,0,43.422729,347.98221,AgroPastoralist,No,RiceAndMaize,No,912036.13,0,241,None,19.590275,48.838024,777.77777,1104.762,3
10,887,47,11,8.9030924,0,28,125.79899,AgroPastoralist,Yes,RiceAndMaize,No,169469.3,0,241,None,18.171989,41.005135,805.68878,946.66669,6
11,894,44,4,1.2646438,100,87.532471,185.03233,Diversifier,No,VegitAndRice,Yes,605875,26.512012,23,ApplyFertilizer,17.892941,33.606655,0,1860,5
12,896,50,5,0.404686,0.23774146,54.054054,1039.3861,Subsistence,No,RiceAndMaize,Yes,1014612,0,23,None,27.196295,31.642347,805.68878,1860,6
13,907,41,4,0.60702902,0,35.714287,929.11536,Subsistence,No,Rice,No,432800,31.905195,23,None,27.403379,23.588245,0,1138.2858,10
14,908,61,3,1.214058,6.5573769,48.3559,251.22357,Subsistence,No,Rice,Yes,238970.52,0,23,ApplyImprovedSeed,17.633652,23.494534,676.88849,1138.2858,5
15,924,45,8,1.618744,64.596275,69.78022,99.459824,Diversifier,No,RiceAndMaize,Yes,454446.94,76.046623,83,None,17.493134,3.7384036,805.68878,1312.6154,4
16,937,56,6,0.60702902,25,66.666664,197.68413,Subsistence,No,Rice,Yes,26185.717,0,23,None,18.110115,19.419584,0,1138.2858,7
17,947,40,5,0.68796623,70.481926,100,482.58182,Subsistence,Yes,Rice,Yes,163142.86,45.053329,23,None,24.307262,20.020014,0,1138.2858,7
18,961,41,5,0.9105435,81.549812,52.727276,297.62445,Subsistence,No,Rice,Yes,805425.88,0,11,UseIrrigationAndFertilizerApplication,18.032787,14.084079,0,1247.595,7
19,968,49,9,3.439831,35.416668,60.416668,306.99182,Subsistence,Yes,Rice,Yes,55042.441,1.6689677,11,UseIrrigationAndFertilizerApplication,24.32617,14.589832,0,1247.595,5
20,975,37,5,2.0234301,61.714287,76.397514,345.9472,Subsistence,Yes,Rice,Yes,250594,0,11,None,26.850933,6.353622,0,1247.595,7
21,977,61,6,1.0117151,14.522821,50,238.20937,Diversifier,No,VegitAndRice,Yes,26475.344,0,11,None,19.837683,7.3443432,0,1247.595,8
22,991,65,5,1.416401,0.4223865,37.142857,668.59595,Diversifier,No,RiceAndMaize,Yes,214574.78,26.728561,91,None,31.657511,1.8900648,805.68878,1403.9215,9
23,998,31,3,1.0117151,72.413795,42.13483,229.31358,Subsistence,Yes,RiceAndMaize,Yes,159888,0,91,CropMultipleTimes,24.66613,1.8900648,805.68878,1403.9215,8
24,1007,37,6,1.0117151,76.825394,0,311.35248,Subsistence,No,Rice,Yes,750675.31,71.970467,91,None,31.65608,2.0244956,0,1403.9215,3
25,1013,43,6,12.342923,20.149254,0,21.712847,AgroPastoralist,Yes,Rice,Yes,241207.48,0,11,ApplyImprovedSeed,28.537331,11.972853,0,1247.595,2
26,1018,37,3,1.618744,63.082436,64.10257,517.06757,Subsistence,Yes,Rice,Yes,942168.81,9.6553402,11,ApplyImprovedSeed,28.52569,12.474558,0,1247.595,10
27,1022,36,7,0.60702902,50.2994,59.760956,275.11041,Subsistence,No,Rice,Yes,105098.79,0,11,UseIrrigation,26.420149,12.474558,0,1247.595,8
28,1026,63,6,2.2257731,0.16293278,0,275.74689,Subsistence,No,RiceAndMaize,Yes,15173.597,0,11,None,16.240372,3.1588414,676.88849,1247.595,8
29,1045,65,2,0.404686,0.17985612,0,1373.9047,Subsistence,No,Rice,Yes,NA,0,83,None,18.770533,32.730236,0,1466.6666,7
